County,State,Popul,PopDen,PopChg%,Hispan%,Under5%,Age65-75%,Black%,Asian%,BirthRate,HSGrad,ColGrad,IncomeHH
Autauga,AL,44876,73.3,2.8,1.4,6.9,6.1,17.1,0.5,13.9,70.0,14.5,36803
Baldwin,AL,145799,88.0,3.8,1.8,6.1,8.8,10.3,0.4,13.4,73.2,16.8,35438
Barbour,AL,28947,32.8,-0.3,1.6,6.2,7.0,46.3,0.3,13.2,55.6,11.8,25925
Bibb,AL,21108,33.4,1.4,1.0,7.0,6.4,22.2,0.1,14.8,51.8,4.7,28039
Blount,AL,52239,79.0,2.4,5.3,6.9,7.4,1.2,0.1,13.2,60.5,7.0,32676
Bullock,AL,11502,18.7,-1.8,2.7,6.3,5.9,73.1,0.2,15.0,49.0,10.0,20401
Butler,AL,21147,27.5,-1.2,0.7,6.3,8.2,40.8,0.2,13.5,52.8,8.0,22813
Calhoun,AL,111338,184.6,-0.8,1.6,6.2,8.0,18.5,0.6,13.6,67.4,14.2,30432
Chambers,AL,36457,61.3,-0.3,0.8,6.6,8.2,38.1,0.2,13.5,54.3,8.9,28093
Cherokee,AL,24147,43.4,0.7,0.9,6.0,9.4,5.5,0.1,12.4,53.5,6.7,28922
Chilton,AL,39995,57.1,1.0,2.9,6.9,7.2,10.6,0.2,13.5,56.6,7.5,30539
Choctaw,AL,15720,17.4,-1.3,0.7,6.9,7.9,44.1,,13.3,54.3,8.5,24714
Clarke,AL,27776,22.5,-0.3,0.6,7.5,7.3,43.0,0.2,17.2,60.3,10.8,26898
Clay,AL,14286,23.6,0.2,1.8,6.2,8.6,15.7,0.1,13.0,53.8,7.3,26809
Cleburne,AL,14298,25.2,1.2,1.4,6.1,7.8,3.7,0.1,11.9,49.8,6.5,29104
Coffee,AL,43349,64.2,-0.6,2.7,6.2,7.7,18.4,0.9,13.5,67.2,16.5,31316
Colbert,AL,55106,92.4,0.2,1.1,6.1,8.3,16.6,0.2,13.0,65.2,11.5,31413
Conecuh,AL,13839,16.6,-1.8,0.7,6.2,8.5,43.6,0.1,11.4,52.7,6.4,22643
Coosa,AL,12143,18.7,-0.5,1.3,6.2,8.3,34.2,,12.6,53.9,6.3,26531
Covington,AL,37107,36.4,-1.4,0.8,5.9,9.2,12.4,0.2,13.5,57.3,9.1,25691
Crenshaw,AL,13725,22.4,0.4,0.6,5.9,8.5,24.8,0.1,12.6,51.3,8.4,23472
Cullman,AL,77900,105.0,0.5,2.2,6.4,8.0,1.0,0.2,12.1,58.8,7.8,30705
Dale,AL,48985,87.6,-0.3,3.3,7.5,6.8,20.4,1.1,15.3,74.2,13.5,30476
Dallas,AL,46029,47.3,-0.7,0.6,7.4,7.4,63.3,0.3,17.9,59.6,12.2,23379
De Kalb,AL,65506,82.8,1.6,5.6,6.8,7.5,1.7,0.2,13.7,53.0,7.1,27948
Elmore,AL,67461,106.1,2.4,1.2,6.6,5.9,20.6,0.4,14.9,66.5,12.8,35305
Escambia,AL,38181,40.6,-0.7,1.0,6.2,7.3,30.8,0.2,13.4,59.9,7.6,25712
Etowah,AL,103014,193.4,-0.4,1.7,6.4,8.5,14.7,0.4,12.7,64.1,10.2,28747
Fayette,AL,18320,29.5,-0.9,0.8,6.0,8.3,11.9,0.2,11.7,56.6,8.5,28717
Franklin,AL,30914,49.1,-1.0,7.4,6.4,8.2,4.2,0.1,15.0,55.1,6.9,26592
Geneva,AL,25438,44.7,-1.3,1.8,5.6,8.7,10.6,0.1,11.3,55.4,6.8,26009
Greene,AL,9923,15.4,-0.5,0.6,7.7,7.8,80.3,0.1,16.6,53.8,10.4,17602
Hale,AL,17262,26.7,0.4,0.9,8.2,6.9,59.0,0.2,16.4,54.4,8.9,20704
Henry,AL,16292,29.0,-0.1,1.5,6.2,8.5,32.3,0.1,11.8,58.5,8.2,28276
Houston,AL,89232,153.1,0.5,1.3,6.8,7.4,24.6,0.6,13.6,68.3,15.0,32086
Jackson,AL,54147,50.0,0.4,1.1,6.3,7.8,3.7,0.2,12.7,58.1,8.0,30791
Jefferson,AL,659743,594.8,-0.3,1.6,6.5,7.1,39.4,0.9,14.2,73.8,19.9,35464
Lamar,AL,15579,26.3,-2.0,1.3,5.8,8.6,12.0,0.1,12.3,52.9,6.2,26867
Lauderdale,AL,87422,131.5,-0.6,1.0,5.9,8.1,9.8,0.4,12.1,67.9,16.4,33204
Lawrence,AL,34928,50.2,0.4,1.1,6.3,6.9,13.4,0.1,12.9,55.6,6.2,31609
Lee,AL,116572,189.0,1.3,1.4,6.3,4.6,22.7,1.6,14.1,73.2,25.3,31821
Limestone,AL,66980,115.6,2.0,2.6,6.6,6.4,13.3,0.4,13.7,63.1,13.8,35981
Lowndes,AL,13418,18.8,-0.4,0.6,7.5,6.8,73.4,0.1,17.3,56.7,8.2,20285
Macon,AL,24006,39.5,-0.4,0.7,6.5,6.8,84.6,0.4,16.0,61.9,18.0,21469
Madison,AL,281931,343.7,1.9,1.9,6.8,6.4,22.8,1.9,14.4,80.2,30.1,43239
Marengo,AL,22367,23.1,-0.8,1.0,6.8,7.8,51.7,0.2,14.7,61.4,11.5,25504
Marion,AL,30621,42.1,-1.9,1.2,6.0,8.4,3.6,0.2,10.7,50.0,6.7,26919
Marshall,AL,82329,145.0,0.1,5.7,6.7,8.0,1.5,0.2,15.1,61.5,11.5,29610
Mobile,AL,399773,324.3,,1.2,7.3,6.5,33.4,1.4,15.6,70.1,15.5,29943
Monroe,AL,24177,23.7,-0.6,0.8,7.5,7.2,40.1,0.3,16.0,59.2,10.8,28061
Montgomery,AL,221973,282.9,-0.7,1.2,6.9,6.2,48.6,1.0,15.7,75.3,24.2,34569
Morgan,AL,111429,190.8,0.3,3.3,6.6,7.0,11.2,0.4,13.7,69.4,15.5,36984
Perry,AL,11676,16.5,-1.6,0.9,7.6,7.8,68.4,,14.4,51.0,11.5,18069
Pickens,AL,20901,23.8,-0.2,0.7,6.8,8.6,43.0,0.1,12.7,56.2,6.6,24567
Pike,AL,29273,44.1,-1.1,1.2,6.5,6.4,36.6,0.4,13.0,59.0,14.3,23915
Randolph,AL,22529,38.5,0.7,1.2,6.6,8.5,22.2,0.2,15.0,50.3,7.7,25882
Russell,AL,49665,77.6,-0.2,1.5,7.1,7.5,40.8,0.4,14.0,57.0,8.2,28141
St. Clair,AL,66402,102.1,2.6,1.1,6.6,7.0,8.1,0.2,12.6,61.0,8.5,33812
Shelby,AL,149724,180.2,4.5,2.0,7.5,5.1,7.4,1.0,15.3,78.2,29.0,52450
Sumter,AL,14492,16.4,-2.1,1.1,7.2,6.7,73.2,0.1,15.3,52.4,11.1,19199
Talladega,AL,80436,108.5,0.1,1.0,6.3,7.4,31.5,0.2,14.2,60.7,10.2,27147
Tallapoosa,AL,41090,57.8,-0.9,0.6,6.2,8.7,25.4,0.2,13.5,57.8,11.5,27804
Tuscaloosa,AL,165062,124.5,0.1,1.3,6.4,6.3,29.3,0.9,13.3,69.6,20.0,31029
Walker,AL,70698,89.1,    ,0.9,6.4,8.2,6.2,0.2,13.2,56.0,7.2,28254
Washington,AL,17868,16.7,-1.3,0.9,7.2,7.0,26.9,0.1,13.4,58.2,6.7,28549
Wilcox,AL,13130,14.8,-0.4,0.7,8.1,7.1,71.9,0.1,15.5,51.1,10.3,17822
Winston,AL,24654,40.5,-0.8,1.5,6.2,8.0,0.4,0.1,12.2,48.8,5.4,25418
Aleutians East,AK,2597,0.4,-3.7,12.6,4.3,1.9,1.7,26.0,12.7,66.4,12.9,42714
Aleutians West,AK,5392,1.2,-1.3,10.5,4.7,1.7,3.0,24.0,11.5,85.8,14.8,44745
Anchorage,AK,264937,153.4,1.8,5.7,7.7,3.4,5.8,5.5,16.6,90.4,26.9,54245
Bethel,AK,16280,0.4,1.7,0.9,10.0,3.2,0.4,1.0,26.5,62.3,13.1,29628
Bristol Bay,AK,1196,2.5,-4.9,0.6,7.1,2.8,0.6,0.2,22.0,89.8,18.9,56570
Denali,AK,1914,0.1,1.1,2.5,5.2,2.2,1.4,1.5,    ,    ,    ,44065
Dillingham,AK,4938,0.3,0.3,2.3,9.7,3.7,0.4,0.6,22.7,69.8,15.3,35094
Fairbanks North Star,AK,83694,11.2,1.0,4.2,8.1,2.9,5.8,2.1,17.1,89.8,25.2,46944
Haines,AK,2333,1.0,-2.5,1.4,5.4,6.2,0.1,0.7,8.2,78.5,17.6,37631
Juneau,AK,30558,11.3,-0.5,3.4,6.5,3.5,0.8,4.7,13.3,89.9,30.7,57809
Kenai Peninsula,AK,50556,3.1,1.7,2.2,6.6,4.8,0.5,1.0,13.6,87.2,17.9,47189
Ketchikan Gateway,AK,13782,11.4,-2.0,2.6,6.9,4.5,0.5,4.3,13.2,85.4,20.2,53502
Kodiak Island,AK,13915,2.1,,6.1,8.9,3.2,1.0,16.0,17.9,84.7,21.5,46673
Lake and Peninsula,AK,1675,0.1,-8.1,1.2,8.0,3.6,0.1,0.2,21.4,60.7,14.4,27016
Matanuska-Susitna,AK,62426,2.4,5.2,2.5,7.0,4.0,0.7,0.7,12.9,87.8,18.1,50273
Nome,AK,9240,0.4,0.5,1.0,8.6,3.5,0.4,0.7,22.5,65.0,13.8,36633
North Slope,AK,7264,0.1,-1.6,2.4,9.5,2.7,0.7,5.9,21.2,68.5,14.1,56915
Northwest Arctic,AK,7344,0.2,1.9,0.8,11.0,3.4,0.2,0.9,26.4,63.8,11.9,39119
Prince of Wales-Outer Ketchikan,AK,5864,0.8,-4.6,1.7,7.4,4.0,0.1,0.4,13.5,77.5,11.4,42226
Sitka,AK,8716,3.1,-1.3,3.3,6.4,5.1,0.3,3.8,13.0,87.0,21.4,50166
Skagway-Hoonah-Angoon,AK,3449,0.4,0.4,2.8,5.2,4.5,0.1,0.4,8.7,79.3,15.8,38830
Southeast Fairbanks,AK,5702,0.2,-7.6,2.7,7.1,4.3,2.0,0.7,17.9,85.9,19.0,36982
Valdez-Cordova,AK,10201,0.3,0.1,2.8,6.7,3.9,0.3,3.6,12.6,83.9,18.5,50526
Wade Hampton,AK,7077,0.4,0.7,0.3,11.0,3.2,0.1,0.1,33.3,57.8,10.2,23796
Wrangell-Petersburg,AK,6615,1.1,-1.0,2.0,6.7,5.0,0.2,1.6,14.2,81.0,19.8,44826
Yakutat,AK,791,0.1,-2.1,0.7,4.8,4.0,0.1,1.2,8.1,    ,    ,41252
Yukon-Koyukuk,AK,6436,,-1.8,1.2,7.1,4.8,0.1,0.4,17.4,73.2,13.8,30532
Apache,AZ,68610,6.2,-1.2,4.5,9.1,5.0,0.2,0.1,19.2,54.7,8.5,20260
Cochise,AZ,119281,19.1,1.3,30.7,6.8,8.7,4.5,1.6,14.8,75.7,16.1,29295
Coconino,AZ,117916,6.2,1.4,10.9,7.3,4.3,1.0,0.8,16.0,79.0,24.6,33747
Gila,AZ,51419,10.8,0.2,16.6,6.1,11.0,0.4,0.4,13.8,68.1,9.7,27960
Graham,AZ,33390,7.2,-0.3,27.0,7.8,6.5,1.9,0.6,15.7,67.6,11.3,27564
Greenlee,AZ,8301,4.6,-2.9,43.1,8.3,5.9,0.5,0.2,17.6,74.2,10.4,43696
La Paz,AZ,19759,4.4,0.2,22.4,4.9,17.0,0.8,0.4,15.3,63.0,8.5,23534
Maricopa,AZ,3194798,333.8,4.0,24.8,7.9,6.1,3.7,2.2,17.5,81.5,22.1,40134
Mohave,AZ,161788,11.6,4.4,11.1,6.0,12.0,0.5,0.8,14.4,72.8,10.3,28250
Navajo,AZ,100135,9.8,2.7,8.2,8.6,6.2,0.9,0.3,17.5,64.6,10.0,25913
Pima,AZ,863049,91.9,2.3,29.3,6.6,7.5,3.0,2.0,14.6,80.5,23.3,32544
Pinal,AZ,188846,33.5,5.1,29.9,6.7,10.0,2.8,0.6,15.0,65.5,8.2,28003
Santa Cruz,AZ,39590,31.0,3.1,80.8,8.7,6.3,0.4,0.5,21.0,57.2,10.8,26515
Yavapai,AZ,175507,20.6,4.8,9.8,5.2,12.0,0.4,0.5,10.7,78.9,17.7,30230
Yuma,AZ,164942,29.0,3.1,50.5,7.9,10.0,2.2,0.9,22.3,64.9,12.7,27227
Arkansas,AR,20588,21.0,-0.8,0.8,6.6,8.2,23.4,0.4,12.1,61.1,10.3,28742
Ashley,AR,23979,26.3,-1.0,3.2,6.7,7.3,27.1,0.2,14.0,62.8,9.3,30040
Baxter,AR,38590,69.3,0.5,1.0,4.5,14.0,0.1,0.3,8.5,67.9,10.4,26352
Benton,AR,159838,181.3,4.2,8.8,7.6,8.0,0.4,1.1,15.9,74.8,14.4,36004
Boone,AR,34569,57.4,1.8,1.1,6.3,8.8,0.1,0.3,14.7,67.6,10.7,28336
Bradley,AR,12564,19.4,-0.3,8.3,5.9,8.8,28.6,0.1,12.6,56.1,9.8,24482
Calhoun,AR,5672,9.1,-1.3,1.5,5.3,8.1,23.4,,10.7,63.3,7.4,27092
Carroll,AR,25761,40.2,1.6,9.7,6.4,8.8,0.1,0.4,14.0,68.4,11.6,26411
Chicot,AR,13943,21.9,-1.2,2.9,6.9,8.4,54.0,0.4,14.2,51.2,8.3,19604
Clark,AR,23517,27.2,-0.1,2.4,6.0,7.4,22.0,0.6,12.5,64.9,17.9,26783
Clay,AR,17355,27.6,-1.4,0.8,6.0,10.0,0.2,0.1,11.0,47.9,5.2,24735
Cleburne,AR,24233,43.5,0.8,1.2,5.1,12.0,0.1,0.1,10.3,61.0,9.4,27223
Cleveland,AR,8609,14.3,0.4,1.6,6.5,7.5,13.2,0.1,11.3,59.9,7.8,29956
Columbia,AR,25245,33.4,-1.4,1.1,6.1,8.0,36.1,0.3,13.4,64.3,13.1,26826
Conway,AR,20404,36.6,0.3,1.8,6.5,8.5,13.1,0.2,13.4,64.5,9.8,28503
Craighead,AR,83008,115.5,1.0,2.1,6.9,6.2,7.8,0.6,14.6,67.5,16.4,31515
Crawford,AR,54246,89.5,1.9,3.3,7.4,6.5,0.9,1.2,15.3,63.8,7.6,30400
Crittenden,AR,51114,83.4,0.5,1.4,8.4,5.3,47.1,0.5,17.8,57.6,9.8,27549
Cross,AR,19596,31.7,0.4,0.9,6.7,7.2,23.7,0.3,14.3,55.8,8.0,26344
Dallas,AR,9061,13.8,-1.6,1.9,6.1,8.4,41.0,0.2,13.4,59.2,8.8,24786
Desha,AR,15052,20.1,-1.9,3.2,7.5,7.2,46.3,0.3,16.4,56.5,10.4,23361
Drew,AR,18870,22.6,0.8,1.8,6.7,6.9,27.2,0.4,15.7,63.1,13.9,27738
Faulkner,AR,88010,132.9,2.3,1.8,6.9,5.2,8.5,0.7,14.0,72.4,17.9,35722
Franklin,AR,17867,29.1,0.5,1.7,6.5,8.0,0.6,0.3,13.3,60.1,8.8,27300
Fulton,AR,11650,18.8,0.1,0.5,5.5,11.0,0.2,0.2,11.4,54.9,5.4,20848
Garland,AR,89657,130.1,1.8,2.6,5.5,11.0,7.8,0.5,12.3,70.2,14.2,28140
Grant,AR,16714,26.1,1.5,1.1,6.4,6.7,2.5,0.1,11.6,68.9,9.3,35486
Greene,AR,37763,64.6,1.2,1.2,6.7,7.6,0.1,0.2,13.2,58.5,9.1,29904
Hempstead,AR,23440,32.4,-0.6,8.3,7.5,7.3,30.4,0.2,16.2,62.0,9.3,24690
Hot Spring,AR,30489,49.4,0.4,1.3,6.3,8.6,10.3,0.2,12.8,64.5,9.0,27757
Howard,AR,14244,24.4,-0.4,5.1,6.7,7.3,21.9,0.5,15.0,61.8,8.3,27782
Independence,AR,34394,44.8,0.5,1.5,6.4,7.7,2.0,0.6,12.8,63.1,10.3,28864
Izard,AR,13211,22.8,-0.3,1.0,5.1,11.0,1.4,0.1,10.8,61.1,9.4,22868
Jackson,AR,17814,29.1,-3.3,1.3,5.7,8.6,17.6,0.2,12.2,51.6,6.7,23942
Jefferson,AR,83565,95.2,-0.8,1.0,6.9,6.6,49.6,0.7,15.8,65.9,14.6,27363
Johnson,AR,22793,34.4,0.1,6.7,6.7,7.8,1.4,0.3,15.1,63.3,12.0,25612
Lafayette,AR,8339,16.2,-2.6,1.0,6.0,8.8,36.5,0.2,13.9,51.6,6.9,21324
Lawrence,AR,17679,30.3,-0.5,0.7,6.3,8.8,0.4,0.1,11.9,53.3,6.1,23133
Lee,AR,12361,20.9,-1.7,2.2,6.4,7.1,57.2,0.3,12.2,44.2,7.4,19194
Lincoln,AR,14325,25.8,-1.2,1.8,5.7,5.9,32.9,0.1,11.7,58.5,5.6,26071
Little River,AR,13484,25.6,-1.1,1.7,6.9,7.9,21.3,0.2,14.1,64.6,8.1,28739
Logan,AR,22374,31.7,-0.5,1.2,6.5,8.2,1.0,0.1,13.5,58.1,6.8,26233
Lonoke,AR,54349,69.0,2.9,1.7,7.1,5.6,6.4,0.4,13.4,67.1,10.0,35825
Madison,AR,14470,17.0,1.6,3.1,6.4,7.6,0.1,0.1,13.9,59.6,8.2,26499
Marion,AR,16268,27.0,0.8,0.8,5.0,11.0,0.1,0.2,8.9,64.2,8.0,23450
Miller,AR,40718,64.8,0.7,1.6,7.4,6.9,23.0,0.4,15.1,63.9,9.5,28034
Mississippi,AR,51071,57.9,-1.7,2.2,8.1,6.6,32.7,0.4,18.6,60.0,10.5,26528
Monroe,AR,9966,16.9,-2.8,1.3,6.9,8.7,38.8,0.1,15.2,52.9,8.4,20702
Montgomery,AR,9244,11.8,,2.5,6.1,11.0,0.3,0.4,12.9,60.1,7.0,23928
Nevada,AR,9865,16.1,-0.9,1.5,6.4,7.9,31.2,0.1,12.6,60.6,9.8,25561
Newton,AR,8518,10.5,-1.0,1.1,5.8,7.8,0.1,0.2,11.6,58.1,6.8,21621
Ouachita,AR,28164,39.3,-2.2,0.7,6.1,8.7,38.6,0.2,12.9,64.8,12.2,27593
Perry,AR,10381,18.5,1.7,1.2,6.3,8.2,1.7,0.1,11.6,61.1,6.2,26507
Phillips,AR,25751,38.2,-2.6,1.4,8.5,7.6,59.0,0.3,18.6,51.5,9.2,18898
Pike,AR,11222,18.7,-0.7,3.6,6.4,8.1,3.5,0.2,14.4,61.1,8.5,26974
Poinsett,AR,25580,33.8,-0.1,1.4,6.8,7.7,7.1,0.2,13.9,48.9,5.6,25052
Polk,AR,20238,23.5,,3.5,6.7,9.0,0.2,0.2,15.7,62.4,9.9,23934
Pope,AR,54746,67.1,0.5,2.1,6.5,6.8,2.6,0.6,14.7,66.5,14.7,31290
Prairie,AR,9529,14.8,-0.1,0.8,6.0,8.7,13.7,0.2,12.3,56.3,7.2,26039
Pulaski,AR,361967,468.8,0.1,2.4,7.2,6.0,31.9,1.2,15.7,79.0,23.5,34727
Randolph,AR,18253,27.9,0.3,0.8,6.0,9.2,1.0,0.1,13.0,54.4,7.9,24454
St. Francis,AR,28952,46.3,-1.3,4.9,7.7,6.4,49.0,0.6,17.9,55.1,8.5,22001
Saline,AR,85698,115.5,2.6,1.3,6.4,7.3,2.2,0.6,12.9,72.9,11.9,39001
Scott,AR,10977,12.3,-0.2,5.7,7.3,8.1,0.2,1.0,11.6,53.8,5.9,24049
Searcy,AR,8189,12.4,-0.9,1.0,5.5,10.0,,0.1,9.9,52.6,7.5,19091
Sebastian,AR,115674,214.7,0.5,6.7,7.4,6.6,6.2,3.5,16.7,71.7,14.6,32360
Sevier,AR,15561,27.9,-1.2,19.7,7.8,6.9,4.9,0.1,17.2,59.0,7.2,26121
Sharp,AR,17299,28.3,1.1,1.0,5.5,13.0,0.5,0.1,10.0,64.5,8.7,22433
Stone,AR,11596,18.9,0.8,1.1,5.5,11.0,0.1,0.1,9.9,59.6,9.4,21846
Union,AR,45177,43.9,-1.0,1.1,6.4,7.8,32.0,0.4,13.5,65.9,12.7,29359
Van Buren,AR,16347,22.7,1.0,1.3,5.1,13.0,0.3,0.2,9.8,62.6,10.5,23828
Washington,AR,162023,166.0,2.7,8.2,7.4,5.2,2.2,1.5,16.4,73.2,20.0,32188
White,AR,68542,65.0,2.1,1.9,6.3,7.2,3.6,0.3,13.2,62.6,10.9,28513
Woodruff,AR,8691,14.9,-0.6,0.8,7.0,8.1,30.8,0.1,14.1,48.7,7.5,20623
Yell,AR,21077,22.8,-0.3,12.7,6.5,7.7,1.5,0.7,13.9,57.2,7.4,25751
Alameda,CA,1458420,1956.0,1.0,19.0,6.8,5.2,14.9,20.0,15.2,81.4,28.8,46795
Alpine,CA,1192,1.6,-1.3,7.8,5.0,6.2,0.6,0.3,8.3,87.6,24.0,31080
Amador,CA,36269,59.2,3.3,8.9,4.2,9.8,3.9,1.0,8.1,82.5,14.0,37829
Butte,CA,205973,124.0,1.4,10.5,5.7,7.5,1.4,3.3,11.7,77.6,19.5,29367
Calaveras,CA,42005,39.8,3.6,6.8,4.4,11.0,0.7,0.9,8.4,81.6,14.4,34672
Colusa,CA,19277,16.3,2.5,46.5,8.1,5.9,0.5,1.2,16.7,62.9,11.1,30464
Contra Costa,CA,975532,1318.0,2.8,17.7,7.0,5.8,9.4,11.0,13.7,86.5,31.6,54275
Del Norte,CA,27554,27.3,0.2,13.9,5.5,6.7,4.3,2.3,11.9,70.9,10.0,29044
El Dorado,CA,162586,91.3,4.0,9.3,5.7,7.0,0.5,2.1,10.8,85.9,20.8,44954
Fresno,CA,815734,134.1,2.0,44.0,8.5,5.2,5.3,8.1,18.8,66.2,16.9,31587
Glenn,CA,26558,20.1,0.4,29.6,7.5,6.8,0.6,3.4,16.3,66.9,9.4,28649
Humboldt,CA,126468,35.4,,6.5,5.6,6.3,0.9,1.7,12.1,80.5,20.0,30426
Imperial,CA,145744,34.1,2.4,72.2,7.7,5.9,4.0,2.0,17.3,53.2,9.7,23359
Inyo,CA,17944,1.8,,12.6,5.4,10.0,0.2,0.9,10.5,81.7,13.5,32871
Kern,CA,676367,81.3,2.2,38.4,8.4,5.2,6.0,3.4,18.1,67.6,13.3,32359
Kings,CA,132119,93.1,2.1,43.6,8.1,4.1,8.3,3.1,18.2,65.6,9.0,30577
Lake,CA,60839,46.4,4.3,11.4,5.3,11.0,2.1,0.8,10.3,70.9,10.7,27295
Lassen,CA,33830,7.4,,13.8,5.0,5.0,8.8,0.7,11.0,72.8,11.7,36819
Los Angeles,CA,9637494,2344.0,1.2,44.6,7.7,5.2,9.8,11.0,17.8,70.0,22.3,36441
Madera,CA,126415,57.6,2.7,44.3,7.7,6.2,4.1,1.3,17.7,63.4,11.7,30804
Marin,CA,247707,475.6,0.2,11.1,5.4,6.8,2.9,4.5,11.3,91.9,44.0,60967
Mariposa,CA,17167,11.8,0.2,7.8,4.4,9.8,0.7,0.7,8.7,77.8,16.8,31178
Mendocino,CA,86860,24.6,0.7,16.5,6.0,6.9,0.6,1.2,12.3,78.7,17.8,32306
Merced,CA,219096,109.2,4.1,45.3,8.9,5.3,3.8,6.8,18.6,63.1,12.0,29178
Modoc,CA,9333,2.4,-1.2,11.5,5.6,9.6,0.7,0.6,10.7,72.2,11.2,28174
Mono,CA,12930,4.2,0.6,17.7,5.7,5.2,0.5,1.1,12.6,87.8,21.9,36276
Monterey,CA,407629,120.9,1.5,46.8,7.8,5.3,3.7,6.0,18.8,72.9,21.5,38341
Napa,CA,128145,164.8,3.1,23.7,6.1,7.0,1.3,3.0,12.7,80.7,22.3,44667
Nevada,CA,94361,96.1,2.5,5.7,4.7,9.1,0.3,0.8,9.1,86.3,22.1,40347
Orange,CA,2890444,3608.0,1.6,30.8,7.6,5.2,1.7,13.0,17.8,81.2,27.8,49583
Placer,CA,268512,176.9,8.1,9.7,6.4,7.0,0.8,2.9,11.9,85.1,22.7,49638
Plumas,CA,20942,8.2,0.6,5.7,4.5,10.0,0.6,0.5,9.0,82.7,15.1,35154
Riverside,CA,1635888,214.4,5.9,36.2,7.9,6.7,6.2,3.7,16.2,74.1,14.6,36368
Sacramento,CA,1268770,1267.0,3.7,16.0,7.3,5.8,10.0,11.0,15.0,82.2,23.0,39461
San Benito,CA,55098,38.3,3.5,47.9,8.8,4.5,1.1,2.4,19.1,68.4,14.4,42578
San Bernardino,CA,1766237,85.2,3.3,39.2,8.4,4.8,9.1,4.7,17.6,75.4,14.9,36876
San Diego,CA,2862819,670.0,1.7,26.7,7.1,5.7,5.7,8.9,15.9,81.9,25.3,39427
San Francisco,CA,770723,16526.0,-0.8,14.1,4.1,6.9,7.8,30.0,11.1,78.0,35.0,43405
San Joaquin,CA,595324,402.9,5.6,30.5,8.0,5.4,6.7,11.0,16.2,68.6,13.2,35629
San Luis Obispo,CA,250727,74.7,1.6,16.3,5.0,7.3,2.0,2.7,10.8,83.3,22.9,38597
San Mateo,CA,702020,1575.0,-0.7,21.9,6.4,6.3,3.5,20.0,14.5,84.1,31.3,57267
Santa Barbara,CA,399543,145.9,,34.2,6.5,6.3,2.3,4.1,15.0,80.0,26.6,40232
Santa Clara,CA,1668309,1303.0,-0.8,24.0,7.1,5.2,2.8,25.0,16.3,82.0,32.6,59639
Santa Cruz,CA,254538,574.4,-0.4,26.8,6.1,4.8,1.0,3.4,14.9,81.9,29.7,44607
Shasta,CA,168478,43.1,3.2,5.5,5.9,7.9,0.8,1.9,12.3,78.4,13.7,32109
Sierra,CA,3485,3.7,-2.0,6.0,4.1,9.5,0.2,0.2,6.8,75.5,15.9,34941
Siskiyou,CA,44325,7.0,0.1,7.6,5.1,9.5,1.3,1.2,9.6,77.4,14.2,28178
Solano,CA,403946,475.9,2.4,17.6,7.3,5.1,14.9,12.0,14.8,82.7,18.7,46115
Sonoma,CA,464024,291.0,1.2,17.3,6.0,6.0,1.4,3.1,12.7,84.4,24.5,43770
Stanislaus,CA,468566,299.2,4.8,31.7,8.0,5.5,2.6,4.2,16.2,68.4,13.0,35913
Sutter,CA,80530,130.9,2.0,22.2,7.3,6.8,1.9,11.0,15.8,72.3,15.4,33775
Tehama,CA,57101,19.0,1.9,15.8,6.3,8.4,0.6,0.8,11.7,72.2,10.2,28030
Trinity,CA,13116,4.1,0.7,4.0,4.2,10.0,0.4,0.5,7.6,74.2,12.9,27042
Tulare,CA,374249,76.3,1.7,50.8,8.9,5.2,1.6,3.3,19.8,60.2,11.8,27622
Tuolumne,CA,55521,24.4,1.9,8.2,4.5,10.0,2.1,0.7,8.9,80.0,14.7,33810
Ventura,CA,770630,408.2,2.3,33.4,7.5,5.3,1.9,5.3,15.6,79.4,23.0,49763
Yolo,CA,174815,166.5,3.6,25.9,6.5,4.8,2.0,9.9,13.9,79.1,30.3,38751
Yuba,CA,60902,95.4,1.1,17.4,8.2,6.0,3.2,7.5,17.4,68.5,9.5,26842
Adams,CO,374891,305.2,3.0,28.2,8.4,4.7,3.0,3.2,15.8,78.8,13.0,40802
Alamosa,CO,14884,20.7,-0.5,41.4,6.9,5.1,1.0,0.8,17.3,76.9,24.1,28204
Arapahoe,CO,500785,607.7,2.6,11.8,6.9,4.6,7.7,3.9,13.4,91.5,35.2,50748
Archuleta,CO,10659,7.3,7.7,16.8,5.4,8.1,0.4,0.3,11.5,80.9,19.7,30518
Baca,CO,4495,1.8,-0.5,7.0,5.9,11.0,,0.2,7.5,72.0,13.6,26731
Bent,CO,5883,4.0,-1.9,30.2,5.9,8.2,3.7,0.6,11.5,72.7,14.6,26427
Boulder,CO,297686,392.6,2.2,10.5,6.0,4.2,0.9,3.1,12.5,91.3,42.1,50245
Chaffee,CO,16520,16.0,1.7,8.6,4.4,9.9,1.6,0.4,8.7,81.0,15.2,30881
Cheyenne,CO,2204,1.3,-1.2,8.1,6.4,7.4,0.5,0.1,10.6,80.8,11.9,34746
Clear Creek,CO,9440,23.6,1.3,3.9,5.7,4.4,0.3,0.4,8.3,91.8,31.2,56537
Conejos,CO,8355,6.5,-0.5,58.9,7.9,8.3,0.2,0.2,16.4,63.7,10.7,20708
Costilla,CO,3647,3.0,-0.4,67.6,5.7,9.8,0.8,1.0,11.1,60.5,10.5,18700
